imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n,f1_pm_std,bal_pm_std
RFECA_SVR(k=20),0.05,EnsembleSoft,0.9291974182822009,0.017056559151318384,0.920340909090909,0.01646364911461509,10,0.9292 ± 0.0171,0.9203 ± 0.0165
RFECA_SVR(k=20),0.05,LogReg,0.9148430202647594,0.011767471028506763,0.9087878787878786,0.014540280364780436,10,0.9148 ± 0.0118,0.9088 ± 0.0145
RFECA_SVR(k=20),0.05,RF,0.9098178336156597,0.012092919402369399,0.9034469696969698,0.009682705338655995,10,0.9098 ± 0.0121,0.9034 ± 0.0097
RFECA_SVR(k=20),0.05,GB,0.8121570132765784,0.03112885595056003,0.7984015151515151,0.03439005395665613,10,0.8122 ± 0.0311,0.7984 ± 0.0344
RFECA_SVR(k=20),0.1,SVC,0.9175954050780138,0.01558372878190276,0.9018787878787877,0.02067060104536817,10,0.9176 ± 0.0156,0.9019 ± 0.0207
RFECA_SVR(k=20),0.1,EnsembleHard,0.9172670167996255,0.017566598821472143,0.9037121212121211,0.01898714519040128,10,0.9173 ± 0.0176,0.9037 ± 0.0190
RFECA_SVR(k=20),0.1,EnsembleSoft,0.9155287145221929,0.019487400519134696,0.9050984848484849,0.022489016296727858,10,0.9155 ± 0.0195,0.9051 ± 0.0225
RFECA_SVR(k=20),0.1,LogReg,0.907165725578769,0.017382543556466377,0.9027121212121212,0.017971702581111023,10,0.9072 ± 0.0174,0.9027 ± 0.0180
RFECA_SVR(k=20),0.1,RF,0.8965357140444097,0.021706555172412295,0.8879545454545454,0.023673350151535374,10,0.8965 ± 0.0217,0.8880 ± 0.0237
RFECA_SVR(k=20),0.1,GB,0.7702959604003082,0.051765614525722065,0.7661818181818182,0.04782368542110073,10,0.7703 ± 0.0518,0.7662 ± 0.0478
RFECA_SVR(k=20),0.2,EnsembleSoft,0.8958184052662312,0.02686548617928372,0.883560606060606,0.02634335881813554,10,0.8958 ± 0.0269,0.8836 ± 0.0263
RFECA_SVR(k=20),0.2,LogReg,0.891949028025115,0.020672678183208216,0.8857575757575757,0.01834870101939296,10,0.8919 ± 0.0207,0.8858 ± 0.0183
RFECA_SVR(k=20),0.2,EnsembleHard,0.888524744820397,0.028862721177689125,0.8732954545454545,0.03269507258205434,10,0.8885 ± 0.0289,0.8733 ± 0.0327
