gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
FOXC1,ok,46,23,FOXA1|SFRP1|KRT5|KRT17|ACTR3B|CCNE1|CXXC5|CDC20|KIF2C|EXO1|MKI67|ANLN|CEP55|PGR|NDC80|CENPF|PTTG1|ERBB2|UBE2T|RRM2|MDM2|ORC6|FGFR4,1446.1037132999918,49
GPR160,ok,48,24,FOXA1|CCNE1|CDC20|NAT1|KIF2C|CDH3|BIRC5|KRT5|EGFR|MKI67|BLVRA|CEP55|MELK|ANLN|CXXC5|MYC|BCL2|PGR|ORC6|KRT14|CCNB1|UBE2T|MMP11|FGFR4,1643.5833744999836,49
GRB7,ok,32,16,ERBB2|CDC6|NAT1|MAPT|TMEM45B|MELK|CDC20|CCNE1|KIF2C|CENPF|ANLN|UBE2T|PTTG1|BIRC5|MKI67|MYC,1725.903744500014,49
KIF2C,ok,47,23,CDC20|UBE2C|CEP55|BIRC5|PTTG1|EXO1|MELK|MKI67|NDC80|CCNB1|FOXA1|PHGDH|NUF2|BCL2|CDH3|GPR160|RRM2|PGR|CXXC5|CDC6|ORC6|MYBL2|MMP11,1976.8931103000068,49
NDC80,ok,49,24,ANLN|CEP55|PTTG1|CCNB1|NUF2|UBE2T|UBE2C|KIF2C|TYMS|EXO1|CDC20|MLPH|CCNE1|FOXA1|MKI67|RRM2|CXXC5|CDH3|MYC|MYBL2|KRT17|MDM2|KRT14|BAG1,2360.242728399986,49
KRT14,ok,49,24,KRT17|KRT5|SFRP1|MIA|FOXC1|FOXA1|CXXC5|MLPH|EGFR|ACTR3B|GPR160|UBE2C|BIRC5|CEP55|MYBL2|CDC6|NUF2|ERBB2|KIF2C|GRB7|TYMS|NDC80|ORC6|ANLN,1868.6902545000194,49
KRT17,ok,39,19,KRT5|KRT14|SFRP1|FOXC1|CDH3|GPR160|ACTR3B|PHGDH|BCL2|MDM2|ANLN|CDC20|BIRC5|CEP55|NDC80|CCNB1|ORC6|GRB7|MKI67,1802.8023612000106,49
KRT5,ok,49,24,KRT17|KRT14|SFRP1|FOXC1|FOXA1|CDH3|MIA|EGFR|CXXC5|ACTR3B|PHGDH|BLVRA|SLC39A6|BCL2|NDC80|CEP55|MDM2|TMEM45B|MKI67|NUF2|CENPF|ORC6|UBE2T|CDC6,2244.0123873999983,49
MAPT,ok,46,23,ESR1|MLPH|NAT1|EXO1|PGR|ANLN|KIF2C|CDC20|CXXC5|UBE2C|NDC80|PTTG1|MKI67|GRB7|TYMS|RRM2|CCNB1|BAG1|ERBB2|BLVRA|MMP11|MYBL2|MYC,1347.618477299984,49
MDM2,ok,39,19,SLC39A6|SFRP1|KRT5|RRM2|TYMS|MLPH|PHGDH|FOXA1|GRB7|FOXC1|PTTG1|MIA|MMP11|BIRC5|CDC6|UBE2T|NDC80|TMEM45B|NUF2,2909.8197190999927,49
MELK,ok,49,24,CEP55|UBE2C|EXO1|KIF2C|ANLN|CDC20|UBE2T|CCNE1|TYMS|MKI67|RRM2|CCNB1|BCL2|ACTR3B|FOXC1|EGFR|GPR160|MYC|KRT5|ORC6|BAG1|MDM2|KRT14|MMP11,2009.3748937000055,49
MIA,ok,46,23,FOXA1|FOXC1|SFRP1|KRT5|ACTR3B|KRT17|KRT14|CDH3|EGFR|CCNE1|CXXC5|ANLN|NDC80|TYMS|CDC20|EXO1|BIRC5|NUF2|ERBB2|MKI67|MMP11|MYBL2|GRB7,2114.5451430999965,49
MKI67,ok,48,24,CEP55|KIF2C|CENPF|MELK|PTTG1|CCNB1|NDC80|TYMS|PHGDH|MLPH|NUF2|GPR160|ACTR3B|FOXC1|BCL2|RRM2|ORC6|FGFR4|MIA|KRT5|TMEM45B|MYBL2|KRT17|MYC,2032.973625100014,49
MLPH,ok,49,24,FOXA1|CCNE1|ANLN|CXXC5|NDC80|MELK|CEP55|KIF2C|GPR160|EXO1|CDC20|PTTG1|TYMS|SLC39A6|UBE2T|NUF2|MYC|CENPF|TMEM45B|BAG1|MYBL2|MDM2|ORC6|FGFR4,1643.7757579000026,49
MMP11,ok,42,21,SFRP1|BAG1|NUF2|MIA|ACTR3B|CXXC5|NDC80|BCL2|CDH3|MKI67|MDM2|MLPH|KIF2C|GPR160|RRM2|TYMS|MYBL2|CCNE1|CENPF|UBE2C|ANLN,1138.3602036999946,49
MYBL2,ok,28,14,NUF2|CEP55|UBE2C|CCNB1|NDC80|MIA|KIF2C|RRM2|KRT14|CDC20|PTTG1|EXO1|CENPF|UBE2T,2150.684534400003,49
MYC,ok,48,24,TYMS|MLPH|TMEM45B|ACTR3B|FOXC1|RRM2|KRT5|GPR160|CXXC5|MIA|MELK|ERBB2|UBE2T|NAT1|NDC80|ORC6|CCNE1|GRB7|MAPT|MKI67|CDC6|PHGDH|BCL2|CENPF,1379.4276888000022,49
NAT1,ok,46,23,ESR1|SLC39A6|CCNE1|CDC20|MAPT|UBE2C|CEP55|MELK|PGR|GPR160|ANLN|MKI67|GRB7|CENPF|FGFR4|UBE2T|BLVRA|CDC6|MYC|NUF2|ERBB2|BAG1|TMEM45B,1122.2459104000009,49
ORC6,ok,43,21,CDC20|MKI67|TMEM45B|GPR160|UBE2C|CCNB1|RRM2|EXO1|CCNE1|FOXC1|PGR|CEP55|UBE2T|NUF2|PTTG1|MELK|NDC80|MLPH|MAPT|MYBL2|MIA,1751.417077399994,49
PGR,ok,46,23,MAPT|NAT1|KIF2C|UBE2C|CDC20|MLPH|BIRC5|CEP55|EXO1|PTTG1|ANLN|MKI67|BLVRA|NDC80|RRM2|ERBB2|GPR160|MIA|CDC6|NUF2|ORC6|MYBL2|MYC,1357.0463101999776,49
PHGDH,ok,49,24,EXO1|FOXA1|KIF2C|BCL2|MLPH|FOXC1|EGFR|ACTR3B|CXXC5|MKI67|PTTG1|KRT5|CENPF|NDC80|RRM2|TYMS|BAG1|CCNB1|CDC6|MDM2|TMEM45B|MMP11|MYBL2|MYC,1101.2624992000055,49
PTTG1,ok,48,24,UBE2C|CEP55|KIF2C|CDC20|EXO1|UBE2T|NDC80|TYMS|CCNB1|MKI67|CCNE1|RRM2|NUF2|PHGDH|BCL2|PGR|SLC39A6|ACTR3B|MYC|GRB7|CXXC5|MYBL2|MDM2|ORC6,1721.7896620999963,49
RRM2,ok,49,24,TYMS|MELK|UBE2T|PTTG1|UBE2C|BCL2|BIRC5|CDC20|NDC80|NUF2|ESR1|MKI67|CENPF|ACTR3B|TMEM45B|FOXA1|MDM2|ORC6|MYBL2|MIA|SLC39A6|GPR160|BAG1|BLVRA,1710.8641808999819,49
SFRP1,ok,49,24,KRT5|FOXC1|KRT14|MIA|FOXA1|EGFR|MYC|CCNE1|TMEM45B|MDM2|ANLN|MMP11|MELK|NDC80|BAG1|EXO1|CDC20|CEP55|BIRC5|RRM2|MYBL2|UBE2T|UBE2C|PTTG1,1317.5035131999757,49
SLC39A6,ok,49,24,ESR1|BCL2|NAT1|CDC20|MLPH|EGFR|FGFR4|MELK|PTTG1|CENPF|BAG1|BLVRA|ACTR3B|TMEM45B|MDM2|ORC6|ERBB2|CCNB1|NUF2|CDC6|MYBL2|MYC|TYMS|RRM2,1052.500922600011,49
TMEM45B,ok,48,24,MYC|FGFR4|GRB7|MLPH|UBE2T|SLC39A6|FOXA1|SFRP1|RRM2|ORC6|NUF2|KRT5|PTTG1|UBE2C|EXO1|CEP55|MKI67|CXXC5|CDC20|MDM2|CDH3|CENPF|MYBL2|PGR,1385.103756299999,49
TYMS,ok,43,21,MELK|PTTG1|UBE2T|NDC80|CEP55|UBE2C|ANLN|EXO1|RRM2|MKI67|CCNB1|CCNE1|CENPF|MYC|NUF2|MIA|CXXC5|BCL2|MDM2|MYBL2|SLC39A6,1286.2047652000037,49
UBE2C,ok,48,24,PTTG1|CEP55|KIF2C|CDC20|MELK|EXO1|BIRC5|CENPF|UBE2T|CCNE1|CCNB1|NDC80|TYMS|NUF2|NAT1|RRM2|BCL2|ESR1|PGR|GRB7|ORC6|MYBL2|CXXC5|TMEM45B,1292.9753264000174,49
UBE2T,ok,42,21,EXO1|PTTG1|MELK|ANLN|UBE2C|NDC80|TYMS|CENPF|NUF2|CDC20|CCNB1|RRM2|MKI67|CCNE1|CXXC5|TMEM45B|PGR|GRB7|GPR160|FOXC1|MYBL2,1059.0562590000045,49
