gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,45,22,FOXA1|FOXC1|MIA|CCNE1|MELK|EXO1|CEP55|KIF2C|ANLN|BLVRA|MKI67|EGFR|MYC|CDH3|BCL2|PTTG1|SLC39A6|CENPF|RRM2|PGR|MYBL2|FGFR4,1039.86383870001,49
ANLN,ok,45,22,MELK|CEP55|EXO1|UBE2C|UBE2T|NDC80|KIF2C|CDC20|MLPH|NUF2|CCNB1|BCL2|EGFR|CXXC5|CDH3|MIA|FOXC1|CDC6|FGFR4|KRT5|MYBL2|BAG1,1086.7564944000042,49
BAG1,ok,42,21,SLC39A6|BCL2|PHGDH|MMP11|MLPH|CDC20|MDM2|FOXA1|SFRP1|KIF2C|PTTG1|ERBB2|CEP55|KRT5|RRM2|GRB7|MELK|CDC6|MYBL2|ORC6|ANLN,1392.0602289999952,49
BCL2,ok,46,23,ESR1|SLC39A6|EGFR|EXO1|CDH3|MELK|ANLN|PHGDH|KIF2C|FOXA1|MLPH|UBE2C|FGFR4|CEP55|RRM2|UBE2T|BAG1|MKI67|CDC6|TYMS|MIA|MYBL2|BLVRA,845.7055338999926,49
BIRC5,ok,18,9,KIF2C|UBE2C|CDC20|CEP55|EXO1|MKI67|CCNE1|ANLN|CCNB1,911.400953400007,49
BLVRA,ok,43,21,GPR160|ACTR3B|MLPH|MIA|SLC39A6|PGR|CCNE1|ESR1|MKI67|CDC20|CENPF|CCNB1|ERBB2|MAPT|TYMS|UBE2C|MDM2|FGFR4|NUF2|ANLN|GRB7,962.4028095999965,49
CCNB1,ok,47,23,NDC80|PTTG1|UBE2C|BIRC5|CEP55|CENPF|KIF2C|CDC20|NUF2|UBE2T|MELK|MKI67|TYMS|CCNE1|MAPT|BCL2|MYBL2|PHGDH|ORC6|BLVRA|CXXC5|MDM2|ERBB2,1053.7697656000091,49
CCNE1,ok,46,23,CDC20|MELK|KIF2C|EXO1|FOXA1|UBE2C|BIRC5|MLPH|MKI67|GPR160|NDC80|EGFR|UBE2T|CCNB1|NUF2|KRT5|CDC6|FGFR4|GRB7|BAG1|MYBL2|MYC|ERBB2,912.897773699995,49
CDC20,ok,48,24,KIF2C|UBE2C|BIRC5|PTTG1|MELK|CENPF|MKI67|ANLN|NDC80|UBE2T|MLPH|BCL2|GPR160|PGR|EGFR|FOXC1|RRM2|GRB7|ORC6|CXXC5|BAG1|MYBL2|ERBB2|KRT17,1129.312676600006,49
CDC6,ok,12,6,EXO1|UBE2C|CEP55|ERBB2|BIRC5|KIF2C,1368.6248778000008,49
NUF2,ok,49,24,NDC80|CCNB1|UBE2T|ANLN|CEP55|UBE2C|EXO1|PTTG1|KIF2C|TYMS|MLPH|CDC20|MKI67|CCNE1|RRM2|MIA|MYBL2|TMEM45B|CDC6|ERBB2|CDH3|MDM2|GRB7|ORC6,1141.5545713000029,49
