gene,rmse,mae,r2,pearson,spearman,n_observed_train,n_masked,winning_prefix_len,n_predictors_selected,winning_predictors,best_oof_rmse,selection_seconds,final_fit_seconds,status,n_candidates,fallback_count,seed,mask_hash,mechanism,missing_rate,replicate,wall_seconds_slot,svr_ok
MELK,0.37722258959211735,0.28017608194873544,0.8665764308159678,0.9319110223080512,0.9427193405909162,1130,478,47,23,CEP55|UBE2C|EXO1|PTTG1|KIF2C|ANLN|CDC20|UBE2T|CCNE1|TYMS|MKI67|ESR1|CCNB1|RRM2|BCL2|ACTR3B|GPR160|MIA|TMEM45B|KRT14|SFRP1|KRT5|BAG1,0.37004478206876285,1134.3921776999923,17.913742000004277,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
MIA,0.48962469079470144,0.3009520302974625,0.554854179272969,0.7543643962416372,0.6016145171144848,1135,473,46,23,FOXA1|SFRP1|KRT5|ACTR3B|KRT14|CXXC5|CCNE1|EGFR|ANLN|NDC80|TYMS|KIF2C|CEP55|NUF2|ERBB2|EXO1|CDC20|PTTG1|MYBL2|MKI67|GRB7|UBE2T|ORC6,0.45554121695516364,1143.7562675999943,15.059376899997005,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
MKI67,0.22579024366482156,0.1658583098540229,0.6501261979801267,0.8063475205907938,0.8133236680329907,1140,468,47,23,CEP55|CDC20|BIRC5|EXO1|CENPF|MELK|ANLN|CCNB1|NDC80|PHGDH|GPR160|ESR1|FOXC1|RRM2|BCL2|ORC6|FGFR4|CDH3|MIA|GRB7|KRT5|KRT17|ERBB2,0.2062622514757727,1207.4904126000038,14.440824599994812,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
MLPH,0.7063565875868741,0.5273742160250758,0.8411685466284938,0.9174025227156125,0.7886425589419472,1131,477,46,23,FOXA1|ANLN|NDC80|CXXC5|MELK|CEP55|KIF2C|CDH3|GPR160|EXO1|CDC20|SLC39A6|EGFR|PTTG1|TYMS|UBE2T|NUF2|MYC|CENPF|TMEM45B|BAG1|MDM2|ORC6,0.6054230558226247,853.5834759999998,11.819398699997691,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
MMP11,1.366837747530356,1.0681330658469714,0.1348668854675037,0.40111521665089384,0.4092003271175833,1145,463,40,20,BAG1|SFRP1|NUF2|MIA|BCL2|CXXC5|NDC80|MAPT|CDH3|MDM2|UBE2T|RRM2|GPR160|TYMS|MKI67|UBE2C|MLPH|CDC20|KIF2C|EXO1,1.2348531429288905,622.5380129999976,6.626121699999203,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
MYBL2,0.17560100582853438,0.1382646853661905,-0.010547477662290916,0.17812101772536276,0.1847860667798037,1128,480,31,15,NUF2|MIA|UBE2C|CEP55|NDC80|KIF2C|BCL2|ANLN|CDC20|KRT14|PTTG1|CCNE1|EXO1|MDM2|UBE2T,0.16123951683779691,1222.6783511000103,4.815879599991604,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
MYC,0.8636939294411474,0.672260834807308,0.3600517780442285,0.6197133307794044,0.605932919731679,1108,500,49,24,TYMS|MLPH|TMEM45B|SFRP1|ACTR3B|FOXC1|ERBB2|RRM2|GPR160|MIA|MELK|NDC80|NAT1|ORC6|EXO1|GRB7|CCNE1|CDC20|MAPT|BCL2|MKI67|CDC6|PHGDH|CENPF,0.8160524946179475,717.8673235000024,13.182903499997337,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
NAT1,1.207422181198551,0.9668594156499659,0.6398095985371401,0.8067207179804196,0.8244549089466101,1127,481,44,22,ESR1|SLC39A6|CCNE1|MAPT|CDC20|PGR|UBE2C|CEP55|MELK|EXO1|PTTG1|GPR160|GRB7|MKI67|FGFR4|MIA|CDC6|UBE2T|ERBB2|MYC|SFRP1|TMEM45B,1.2648294226562857,637.1813064999878,8.304719200008549,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
ORC6,0.39379473328917247,0.3243513722876376,0.22453023419596196,0.48162503231468917,0.4950046830126371,1119,489,48,24,CDC20|SLC39A6|TMEM45B|MKI67|CENPF|KIF2C|GPR160|BIRC5|UBE2C|CCNB1|UBE2T|EXO1|PGR|MLPH|BAG1|CEP55|KRT5|BCL2|KRT14|MYBL2|CDC6|NDC80|EGFR|PTTG1,0.37988433748603545,998.6583124000026,12.086852600012207,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
PGR,0.8120404105803671,0.6212180589210249,0.38959961624414086,0.6264208609685225,0.6697906809198356,1132,476,49,24,MAPT|NAT1|UBE2C|KIF2C|FGFR4|CDC20|EXO1|PTTG1|ANLN|MKI67|CXXC5|ERBB2|RRM2|BLVRA|NDC80|TYMS|CCNB1|ACTR3B|ORC6|NUF2|MDM2|MYBL2|MYC|TMEM45B,0.8463579730740788,760.9248738000024,9.974402899999404,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
PHGDH,0.937942524386312,0.7304007968519933,0.5292194125512593,0.7376681159178226,0.6859040865650348,1125,483,49,24,EXO1|KIF2C|BCL2|MELK|MLPH|EGFR|FOXC1|CXXC5|ACTR3B|MKI67|PTTG1|KRT5|MIA|CENPF|UBE2T|BAG1|GPR160|RRM2|TYMS|MMP11|TMEM45B|CCNB1|MYBL2|MYC,0.9763782463280145,630.4997322999989,9.830562500006636,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
PTTG1,0.3848932925519603,0.30576090507224474,0.8419908694515937,0.9224819660779632,0.9250938916468808,1157,451,48,24,UBE2C|CEP55|KIF2C|CDC20|EXO1|UBE2T|NDC80|CCNB1|TYMS|CCNE1|RRM2|NUF2|PGR|CDC6|GPR160|ACTR3B|CXXC5|GRB7|MIA|MYBL2|SFRP1|ERBB2|KRT5|ORC6,0.3841566844634174,1012.7148279999965,10.28645780000079,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
RRM2,0.3348467971301082,0.259940201195356,0.5420061465987521,0.7411989532234748,0.7678315761700772,1136,472,48,24,TYMS|MELK|UBE2T|ANLN|UBE2C|CEP55|BCL2|NDC80|ESR1|NUF2|CDC6|MKI67|CENPF|ACTR3B|FOXA1|TMEM45B|MDM2|MYBL2|SLC39A6|BAG1|KRT17|GPR160|BLVRA|KRT5,0.35538826778617555,920.7571381000016,11.515067799991812,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
SFRP1,0.913455188204096,0.6614504813829363,0.6888752979721188,0.8401224338455862,0.830261842245226,1133,475,39,19,KRT5|KRT14|FOXC1|MIA|FOXA1|EGFR|MYC|CCNE1|MDM2|TMEM45B|ANLN|MMP11|MELK|BAG1|ERBB2|EXO1|MYBL2|UBE2C|CDC20,0.9556596703589091,758.0665303999995,5.578274600004079,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
SLC39A6,0.9419727136696605,0.7489689816690105,0.6706400530414003,0.819137534016674,0.8276830811768601,1132,476,49,24,ESR1|NAT1|BCL2|MLPH|KIF2C|FOXC1|FGFR4|EXO1|MELK|ANLN|UBE2C|BAG1|BLVRA|PTTG1|TMEM45B|ACTR3B|KRT5|MDM2|ORC6|CCNB1|MYC|UBE2T|TYMS|RRM2,0.9578591132082462,618.9201694999938,8.032076899995445,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
TMEM45B,0.55302822629934,0.3989624654198979,0.2794473778166733,0.5424064852778181,0.5526893139350216,1150,458,42,21,GRB7|MYC|SLC39A6|MLPH|UBE2T|ACTR3B|SFRP1|RRM2|ORC6|NDC80|KRT5|EXO1|UBE2C|BAG1|MKI67|MDM2|KIF2C|CEP55|CCNB1|CDH3|CXXC5,0.5030487612726605,840.0771167999919,6.547163900002488,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
TYMS,0.4966486181192895,0.3868984482405539,0.7169518033840951,0.8468803859984189,0.8379168017725899,1095,513,49,24,MELK|PTTG1|UBE2T|NDC80|UBE2C|ANLN|EXO1|RRM2|MLPH|MKI67|MYC|NUF2|CENPF|CXXC5|MIA|GPR160|BCL2|MYBL2|MDM2|BLVRA|ORC6|MMP11|SLC39A6|BAG1,0.47946047951246856,645.3269946999935,7.668311899993569,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
UBE2C,0.4445607573794329,0.33807212948882637,0.8878030000070307,0.9435518818638905,0.9471071839244856,1092,516,47,23,CEP55|KIF2C|PTTG1|CDC20|MELK|BIRC5|EXO1|CENPF|UBE2T|CCNE1|CCNB1|NDC80|TYMS|NAT1|NUF2|RRM2|BCL2|ESR1|MYBL2|ORC6|TMEM45B|CXXC5|ERBB2,0.4047324263908805,734.9308981000067,7.106583799992222,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
UBE2T,0.35385590355049157,0.2738943161028101,0.82026870611248,0.9064638935808443,0.9105806581907799,1123,485,47,23,EXO1|PTTG1|MELK|CEP55|ANLN|UBE2C|NDC80|TYMS|CENPF|NUF2|CDC20|CCNB1|RRM2|MKI67|CCNE1|ACTR3B|CXXC5|TMEM45B|KRT14|ORC6|FOXC1|MYBL2|KRT5,0.39344837677620637,680.4475770999998,8.437053999994532,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
